Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
05/25/2020,393918,0.16,7996,0.01,19321,0.2,12983,0.12,5428,0.18,445015,0.52,441,0.13
05/26/2020,656766,0.11,17819,0.01,26691,0.08,14938,0.05,9875,0.34,587270,0.61,1173,0.07
05/27/2020,674465,0.12,17911,0.01,26483,0.08,14433,0.05,11088,0.38,601140,0.62,1240,0.07
05/28/2020,658057,0.12,17535,0.01,25175,0.08,14162,0.05,10030,0.34,584629,0.61,1191,0.07
05/29/2020,657259,0.11,16378,0.01,25070,0.08,15698,0.05,10185,0.35,598608,0.62,1094,0.06
05/30/2020,426737,0.13,9112,0.01,15557,0.13,11003,0.07,6143,0.35,537180,0.56,18,0
05/31/2020,344426,0.14,6724,0.01,13554,0.14,9390,0.09,4216,0.25,495488,0.58,2,0
06/01/2020,687162,0.12,17833,0.01,34339,0.1,16185,0.05,10760,0.37,595060,0.61,1358,0.08
06/02/2020,693760,0.12,16576,0.01,33769,0.1,16295,0.06,11206,0.38,579412,0.59,1516,0.09
06/03/2020,681714,0.12,17830,0.01,32523,0.1,15649,0.05,11962,0.41,582624,0.59,1323,0.08
06/04/2020,726672,0.13,18538,0.01,29771,0.09,17149,0.06,12000,0.41,650868,0.66,1346,0.08
06/05/2020,703576,0.13,16863,0.01,33482,0.1,18065,0.06,11698,0.4,643562,0.65,1249,0.08
06/06/2020,464198,0.14,8912,0.01,18090,0.15,12179,0.08,6591,0.38,551793,0.56,9,0
06/07/2020,377990,0.14,7579,0.01,16797,0.17,11231,0.1,4650,0.26,538419,0.58,95,0.02
06/08/2020,804542,0.14,25663,0.01,42630,0.13,20140,0.07,11957,0.41,644830,0.66,1596,0.1
06/09/2020,842306,0.15,26247,0.01,42274,0.13,19543,0.07,12869,0.44,680462,0.69,1662,0.1
06/10/2020,857015,0.15,26735,0.01,43083,0.13,20518,0.07,13616,0.46,680270,0.69,1767,0.11
06/11/2020,818297,0.15,24284,0.01,40961,0.12,19525,0.07,12514,0.43,656696,0.67,1576,0.1
06/12/2020,896658,0.16,24459,0.01,45072,0.14,24165,0.08,13224,0.45,765492,0.78,1656,0.1
06/13/2020,545316,0.17,12115,0.01,25355,0.21,16675,0.11,7794,0.45,631065,0.64,17,0
06/14/2020,430439,0.16,8731,0.01,20859,0.21,13795,0.13,5195,0.29,563725,0.61,7,0
06/15/2020,897112,0.16,27057,0.01,47545,0.14,22841,0.08,12953,0.44,674785,0.69,1813,0.11
06/16/2020,932671,0.17,28049,0.01,46876,0.14,22555,0.08,12939,0.44,695359,0.71,1874,0.12
06/17/2020,948461,0.17,27924,0.01,47166,0.14,24167,0.08,14595,0.5,709680,0.72,1857,0.11
06/18/2020,942382,0.17,27516,0.01,47851,0.14,24081,0.08,13808,0.47,729487,0.74,1936,0.12
06/19/2020,986929,0.38,25578,0.02,50201,0.51,27772,0.25,13868,0.47,797519,0.86,1751,0.45
06/20/2020,576075,0.18,11899,0.01,28959,0.24,18560,0.12,8185,0.47,666226,0.68,22,0
06/21/2020,449497,0.17,9072,0.01,27094,0.28,16720,0.15,6328,0.35,654914,0.71,,
06/22/2020,1000046,0.18,30863,0.01,53878,0.16,25367,0.09,13314,0.45,733291,0.75,2027,0.13
06/23/2020,1050786,0.19,32305,0.02,52898,0.16,24909,0.08,15069,0.51,744822,0.76,2219,0.14
06/24/2020,1068333,0.19,32504,0.02,52354,0.16,25277,0.09,15155,0.52,752750,0.77,2194,0.14
06/25/2020,1078796,0.19,32393,0.02,53444,0.16,25644,0.09,14854,0.51,781618,0.79,2210,0.14
06/26/2020,1102382,0.2,30480,0.01,55647,0.17,29700,0.1,15048,0.51,830887,0.85,2115,0.13
06/27/2020,615398,0.19,12942,0.01,26773,0.22,17933,0.11,8541,0.49,630731,0.64,686,0.14
06/28/2020,535898,0.2,10167,0.01,25680,0.26,15919,0.15,5748,0.32,623131,0.67,590,0.15
