name,address,city,state,zip_code,latitude,longitude,category,description,event_site_url,image_url,is_free,time_start,time_end,attending_count,interested_count,is_canceled,is_official
"Chelsea Music Festival announces 15th Season ""Connecting the Dots""",25 11Th Ave,New York,NY,10011,40.7429434,-74.0091131,music,"Chelsea Music Festival celebrates its 15th season with nine evenings of concerts, conversation, and tastings with musicians, visual artists, chefs from June...",https://www.yelp.com/events/new-york-chelsea-music-festival-announces-15th-season-connecting-the-dots?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media4.fl.yelpcdn.com/ephoto/q2UTlD8L_SEOr3jzgSotsQ/o.jpg,False,2024-06-21T19:00:00-04:00,2024-06-29T22:00:00-04:00,1,0,False,False
Be Our Guest: 90s/00s Disney Throwback Night,17 Irving Pl,New York,NY,10003,40.7349063,-73.9883801,nightlife,"Experience nostalgic Disney magic at ""Be Our Guest"": A touring DJ dance party for adults featuring 90s/2000s classics like Lion King and Hannah Montana....",https://www.yelp.com/events/new-york-be-our-guest-90s-00s-disney-throwback-night-2?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/qM1Vn_rkJM5t9a6g5p-BMQ/o.jpg,False,2024-07-13T19:00:00-04:00,2024-07-13T23:00:00-04:00,1,0,False,False
WHITE WAVE Dance Presents The 2024 DUMBO DANCE FESTIVAL,3 Lafayette Ave,Brooklyn,NY,11217,40.6869309613354,-73.9788752993549,performing-arts,"On Thursday, June 27, WHITE WAVE Dance celebrates the 23 Anniversary season of the DUMBO Dance Festival (DDF) with a GALA Opening that heralds the most...",https://www.yelp.com/events/brooklyn-white-wave-dance-presents-the-2024-dumbo-dance-festival?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/7cTPvcBzhi9V7g8RwTxTew/o.jpg,False,2024-06-27T18:30:00-04:00,2024-06-30T22:00:00-04:00,1,0,False,False
Hartford Bonanza - 2024,P.O.Box 230778,New York,NY,,40.7127753,-74.0059728,other,"Hartford Bonanza July 6, 2024Hartford's 4th Annual Independence Day Tradition",https://www.yelp.com/events/new-york-hartford-bonanza-2024?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/az1AbTxltqvcktCzc1gIww/o.jpg,True,2024-07-06T14:00:00-04:00,2024-07-06T22:00:00-04:00,1,0,False,False
THAT 70'S RACE 5K & 10M,Park Side Ave & Parade Pl,Brooklyn,NY,11218,40.6532179,-73.96623459999999,charities,"THAT 70'S RACE 5K & 10M
NYC PARKS SUMMER RACE SERIES #2
PROSPECT PARK, BROOKLYN

 LET'S GET GROOVY 

Good Vibes Only at the 2nd in the NYC Parks Summer Race...",https://www.yelp.com/events/brooklyn-that-70s-race-5k-and-10m-2?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media2.fl.yelpcdn.com/ephoto/Y3YzUWVqYl8yw9vExYwDLg/o.jpg,False,2024-07-07T09:00:00-04:00,2024-07-07T12:00:00-04:00,1,0,False,False
Queer the Ballet in partnership Baruch Performing Arts Center presents Dream of a Common Language,55 Lexington Ave,New York,NY,10010,40.7402384,-73.9835124,performing-arts,"Queer the Ballet presents the world premiere of Dream of a Common Language from Friday, June 21 to Sunday, June 23, 2024, with performances at 7:30pm on...",https://www.yelp.com/events/new-york-queer-the-ballet-in-partnership-baruch-performing-arts-center-presents-dream-of-a-common-language?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/kP8AKhdDgNsh5J8_j6AphA/o.jpg,False,2024-06-21T19:30:00-04:00,2024-06-23T21:00:00-04:00,1,0,False,False
Free Historic Walking Tour Through the Flatiron NoMad District,175 5th Ave,New York,NY,10010,40.7409678038651,-73.9896588864705,other,"Join a free historic walking tour of the Flatiron NoMad district, led by professional guides this Sunday at 11 a.m. Learn more about the world-famous...",https://www.yelp.com/events/new-york-free-historic-walking-tour-through-the-flatiron-nomad-district-49?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/D0ffQ2s0cfe3xY1HDagzeA/o.jpg,True,2024-06-09T11:00:00-04:00,,1,1,False,False
Free Historic Walking Tour Through the Flatiron NoMad District,175 5th Ave,New York,NY,10010,40.7409678038651,-73.9896588864705,other,"Join a free historic walking tour of the Flatiron NoMad district, led by professional guides this Sunday at 11 a.m. Learn more about the world-famous...",https://www.yelp.com/events/new-york-free-historic-walking-tour-through-the-flatiron-nomad-district-50?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media4.fl.yelpcdn.com/ephoto/xt0Hst1YD9ELoqx7Z0lmlA/o.jpg,True,2024-06-16T11:00:00-04:00,,1,0,False,False
Free Historic Walking Tour Through the Flatiron NoMad District,175 5th Ave,New York,NY,10010,40.7409678038651,-73.9896588864705,other,"Join a free historic walking tour of the Flatiron NoMad district, led by professional guides this Sunday at 11 a.m. Learn more about the world-famous...",https://www.yelp.com/events/new-york-free-historic-walking-tour-through-the-flatiron-nomad-district-51?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media3.fl.yelpcdn.com/ephoto/VgjzS2VvpXNTUJwI9QI3Cg/o.jpg,True,2024-06-23T11:00:00-04:00,,1,0,False,False
Free Historic Walking Tour Through the Flatiron NoMad District,175 5th Ave,New York,NY,10010,40.7409678038651,-73.9896588864705,other,"Join a free historic walking tour of the Flatiron NoMad district, led by professional guides this Sunday at 11 a.m. Learn more about the world-famous...",https://www.yelp.com/events/new-york-free-historic-walking-tour-through-the-flatiron-nomad-district-52?adjust_creative=vaXd63wEr8RrzPKFIuH35Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_event_search&utm_source=vaXd63wEr8RrzPKFIuH35Q,https://s3-media1.fl.yelpcdn.com/ephoto/QtAtoQ1fGezDeVhfZ7TkfQ/o.jpg,True,2024-06-30T11:00:00-04:00,,1,0,False,False
